Dp,Dn,log_likelihood,posterior_mass,sum_squared_standardized_error
0.5,0.5,-3615.8152301510445,0,7587.7381716633972
0.5,0.53749999999999998,-3386.3258092570627,0,7128.7593298754337
0.5,0.57499999999999996,-3169.7332564177655,0,6695.5742241968392
0.5,0.61250000000000004,-2965.0689299769206,0,6286.2455713151494
0.5,0.65000000000000002,-2771.4139897624418,0,5898.9356908861919
0.5,0.6875,-2588.0395435155915,0,5532.1867983924913
0.5,0.72499999999999998,-2414.1855649476456,0,5184.4788412565995
0.5,0.76249999999999996,-2249.3094248374355,0,4854.7265610361792
0.5,0.80000000000000004,-2092.8133691978032,0,4541.7344497569147
0.5,0.83749999999999991,-1944.3021525586169,0,4244.712016478542
0.5,0.875,-1803.3834251598164,0,3962.8745616809415
0.5,0.91249999999999998,-1669.7169743442596,0,3695.5416600498274
0.5,0.94999999999999996,-1543.0168998086356,0,3442.1415109785794
0.5,0.98750000000000004,-1423.0446053934465,0,3202.1969221482013
0.5,1.0249999999999999,-1309.5715518979723,0,2975.2508151572533
0.5,1.0625,-1202.4174233386343,0,2760.9425580385773
0.5,1.1000000000000001,-1101.3766889445201,0,2558.8610892503484
0.5,1.1375,-1006.3203958023033,0,2368.7485029659151
0.5,1.1749999999999998,-917.0898064578754,0,2190.2873242770593
0.5,1.2124999999999999,-833.52933333189912,0,2023.1663780251067
0.5,1.25,-755.46821015356909,0,1867.0441316684467
0.5,1.2875000000000001,-682.72009549589166,0,1721.5479023530918
0.5,1.325,-615.2341559978679,0,1586.5760233570443
0.5,1.3624999999999998,-552.76037557079769,1.4531115458047105e-304,1461.6284625029039
0.5,1.3999999999999999,-495.17129654689222,1.4890805515726038e-279,1346.4503044550929
0.5,1.4375,-442.29497643849732,1.3702892097054927e-256,1240.6976642383031
0.5,1.4750000000000001,-394.01138187835204,1.276764861789293e-235,1144.1304751180126
0.5,1.5125,-350.13883871028236,1.4444892920549076e-216,1056.3853887818732
0.5,1.55,-310.54458127825967,2.2661144732965237e-199,977.19687391782782
0.5,1.5874999999999999,-275.11821647836609,5.5049907181439821e-184,906.34414431804066
0.5,1.625,-243.70279361933365,2.4227097404780658e-170,843.51329859997577
0.5,1.6624999999999999,-216.21768936114063,2.0937773589689487e-158,788.54309008358973
0.5,1.7,-192.5621097593193,3.9302319926870892e-148,741.23193087994707
0.5,1.7375,-172.64371129370056,1.7573923376643146e-139,701.3951339487096
0.5,1.7749999999999999,-156.4444268378291,1.906024937715244e-132,668.99656503696667
0.5,1.8125,-143.88657042164402,5.4192142908607241e-127,643.88085220459652
0.5,1.8499999999999999,-135.01331839200918,3.8684832216114037e-123,626.13434814532684
0.5,1.8875,-129.77490701652118,7.2870856127531211e-121,615.65752539435084
0.5,1.925,-128.24096287586741,3.3786044343110216e-120,612.5896371130433
0.5,1.9624999999999999,-130.48097661016322,3.5967623503213036e-121,617.06966458163492
0.5,2,-136.56583689420825,8.1901244131543974e-124,629.23938514972497
0.53749999999999998,0.5,-3397.1053310752714,0,7150.318373511851
0.53749999999999998,0.53749999999999998,-3174.3720322100103,0,6704.8517757813288
0.53749999999999998,0.57499999999999996,-2964.5820594575052,0,6285.2718302763187
0.53749999999999998,0.61250000000000004,-2766.7398822061887,0,5889.5874757736856
0.53749999999999998,0.65000000000000002,-2579.907048767885,0,5515.9218088970783
0.53749999999999998,0.6875,-2403.2114029732402,0,5162.5305173077886
0.53749999999999998,0.72499999999999998,-2235.9809175235437,0,4828.0695464083956
0.53749999999999998,0.76249999999999996,-2077.5484216832783,0,4511.2045547278649
0.53749999999999998,0.80000000000000004,-1927.4013381724944,0,4210.9103877062971
0.53749999999999998,0.83749999999999991,-1785.1051111648471,0,3926.3179336910025
0.53749999999999998,0.875,-1650.1551192814745,0,3656.4179499242573
0.53749999999999998,0.91249999999999998,-1522.3110119434436,0,3400.729735248196
0.53749999999999998,0.94999999999999996,-1401.2361920402896,0,3158.5800954418874
0.53749999999999998,0.98750000000000004,-1286.6865022767538,0,2929.4807159148158
0.53749999999999998,1.0249999999999999,-1178.4309898381293,0,2712.9696910375674
0.53749999999999998,1.0625,-1076.3237320962457,0,2508.7551755537997
0.53749999999999998,1.1000000000000001,-980.15005128232849,0,2316.4078139259655
0.53749999999999998,1.1375,-889.75338696667075,0,2135.61448529465
0.53749999999999998,1.1749999999999998,-804.99055650182333,0,1966.0888243649551
0.53749999999999998,1.2124999999999999,-725.73935733412202,0,1807.5864260295525
0.53749999999999998,1.25,-651.80563771899779,0,1659.718986799304
0.53749999999999998,1.2875000000000001,-583.05127825148338,1.0165459951061149e-317,1522.2102678642752
0.53749999999999998,1.325,-519.36467126576474,4.6330720327365272e-290,1394.837053892838
0.53749999999999998,1.3624999999999998,-460.54163267174567,1.630760271386069e-264,1277.1909767047998
0.53749999999999998,1.3999999999999999,-406.47445720068083,4.9370335873394506e-241,1169.0566257626701
0.53749999999999998,1.4375,-357.00896634725393,1.4998775478355963e-219,1070.1256440558163
0.53749999999999998,1.4750000000000001,-311.97485603568458,5.4215243141373699e-200,980.05742343267764
0.53749999999999998,1.5125,-271.2508069972987,2.6323957923102185e-182,898.60932535590587
0.53749999999999998,1.55,-234.66205057946104,2.0447781696415426e-166,825.43181252023055
0.53749999999999998,1.5874999999999999,-202.12803777826309,2.7541553522418563e-152,760.36378691783466
0.53749999999999998,1.625,-173.48773690440487,7.5563673565622162e-140,703.08318517011821
0.53749999999999998,1.6624999999999999,-148.68103504716862,4.4846318195315824e-129,653.46978145564572
0.53749999999999998,1.7,-127.59231185850098,6.4631302053055351e-120,611.29233507831043
0.53749999999999998,1.7375,-110.1388955178798,2.4567745940342377e-112,576.38550239706808
0.53749999999999998,1.7749999999999999,-96.276204630199061,2.5754639141594448e-106,548.6601206217066
0.53749999999999998,1.8125,-85.985761955662554,7.5846918162359304e-102,528.07923527263358
0.53749999999999998,1.8499999999999999,-79.242286619932884,6.4356447999147677e-99,514.59228460117424
0.53749999999999998,1.8875,-76.04616881115814,1.5727090797065553e-97,508.20004898362475
0.53749999999999998,1.925,-76.458828354844115,1.0409566198345157e-97,509.02536807099671
0.53749999999999998,1.9624999999999999,-80.517533545618846,1.7978744613698234e-99,517.14277845254617
0.53749999999999998,2,-88.315096980114788,7.384491440964875e-103,532.73790532153805
0.57499999999999996,0.5,-3187.1445549800874,0,6730.396821321483
0.57499999999999996,0.53749999999999998,-2971.0416422409298,0,6298.1909958431679
0.57499999999999996,0.57499999999999996,-2767.9627754018916,0,5892.0332621650914
0.57499999999999996,0.61250000000000004,-2576.862448019293,0,5509.8326073998942
0.57499999999999996,0.65000000000000002,-2396.6856935100045,0,5149.4790983813173
0.57499999999999996,0.6875,-2226.6396574191044,0,4809.3870261995171
0.57499999999999996,0.72499999999999998,-2065.9410721842564,0,4487.9898557298211
0.57499999999999996,0.76249999999999996,-1913.9117877760887,0,4183.9312869134856
0.57499999999999996,0.80000000000000004,-1770.0474770137907,0,3896.2026653888902
0.57499999999999996,0.83749999999999991,-1633.8377458713794,0,3623.7832031040675
0.57499999999999996,0.875,-1504.8806036158953,0,3365.8689185930994
0.57499999999999996,0.91249999999999998,-1382.8220019668884,0,3121.751715295085
0.57499999999999996,0.94999999999999996,-1267.3319171330918,0,2890.7715456274918
0.57499999999999996,0.98750000000000004,-1158.1920775683939,0,2672.491866498096
0.57499999999999996,1.0249999999999999,-1055.2095971400568,0,2466.5269056414222
0.57499999999999996,1.0625,-958.12040385785679,0,2272.348519077022
0.57499999999999996,1.1000000000000001,-866.79616362624813,0,2089.7000386138047
0.57499999999999996,1.1375,-781.08565352734536,0,1918.2790184159992
0.57499999999999996,1.1749999999999998,-700.8489144861403,0,1757.8055403335891
0.57499999999999996,1.2124999999999999,-625.92832886652616,0,1607.9643690943608
0.57499999999999996,1.25,-556.16730718717804,4.816009692455364e-306,1468.4423257356646
0.57499999999999996,1.2875000000000001,-491.43741882342431,6.230468187628406e-278,1338.9825490081571
0.57499999999999996,1.325,-431.61945666427516,5.9310497549242084e-252,1219.3466246898588
0.57499999999999996,1.3624999999999998,-376.5157098533158,5.0627296829954858e-228,1109.1391310679401
0.57499999999999996,1.3999999999999999,-326.03165724937747,4.2592213375159217e-206,1008.1710258600634
0.57499999999999996,1.4375,-279.99153354581711,4.2101917906600781e-186,916.09077845294269
0.57499999999999996,1.4750000000000001,-238.27419542773839,5.5196510726730768e-168,832.65610221678526
0.57499999999999996,1.5125,-200.73631726511371,1.1076561747208639e-151,757.5803458915359
0.57499999999999996,1.55,-167.22277315884196,3.9733081422046107e-137,690.5532576789924
0.57499999999999996,1.5874999999999999,-137.64285130036711,2.789645934134775e-124,631.3934139620427
0.57499999999999996,1.625,-111.84305118614549,4.4695099589216166e-113,579.79381373359945
0.57499999999999996,1.6624999999999999,-89.761851773439275,1.7378127052447157e-103,535.63141490818703
0.57499999999999996,1.7,-71.281334329085212,1.8449717337356534e-95,498.6703800194789
0.57499999999999996,1.7375,-56.354789596888509,5.6040980857892216e-89,468.81729055508549
0.57499999999999996,1.7749999999999999,-44.909311307639427,5.2385825468748984e-84,445.92633397658733
0.57499999999999996,1.8125,-36.921649854643448,1.5424499615568353e-80,429.95101107059537
0.57499999999999996,1.8499999999999999,-32.345655548144464,1.4980977804278038e-78,420.7990224575974
0.57499999999999996,1.8875,-31.235794353462893,4.5451346430777335e-78,418.57930006823426
0.57499999999999996,1.925,-33.600984375950759,4.2693108558224228e-79,423.30968011320999
0.57499999999999996,1.9624999999999999,-39.548298287026483,1.1155066508073979e-81,435.20430793536144
0.57499999999999996,2,-49.092615887045042,7.9878094600898935e-86,454.29294313539856
0.61250000000000004,0.5,-2986.0038043097893,0,6328.1153199808869
0.61250000000000004,0.53749999999999998,-2776.422077295395,0,5908.9518659520982
0.61250000000000004,0.57499999999999996,-2579.9407120509654,0,5515.9891354632391
0.61250000000000004,0.61250000000000004,-2395.3891960996812,0,5146.8861035606706
0.61250000000000004,0.65000000000000002,-2221.7835583818978,0,4799.6748281251039
0.61250000000000004,0.6875,-2058.2179795502152,0,4472.5436704617387
0.61250000000000004,0.72499999999999998,-1903.9103388002927,0,4163.9283889618937
0.61250000000000004,0.76249999999999996,-1758.240674217333,0,3872.5890597959747
0.61250000000000004,0.80000000000000004,-1620.5300456874547,0,3597.1678027362182
0.61250000000000004,0.83749999999999991,-1490.3718259094062,0,3336.8513631801206
0.61250000000000004,0.875,-1367.3064666017408,0,3090.7206445647903
0.61250000000000004,0.91249999999999998,-1250.9642918940049,0,2858.036295149318
0.61250000000000004,0.94999999999999996,-1141.0175320396511,0,2638.1427754406109
0.61250000000000004,0.98750000000000004,-1037.2723890735933,0,2430.6524895084949
0.61250000000000004,1.0249999999999999,-939.46422010896219,0,2235.0361515792329
0.61250000000000004,1.0625,-847.41153455383085,0,2050.9307804689702
0.61250000000000004,1.1000000000000001,-760.96084375567898,0,1878.0293988726664
0.61250000000000004,1.1375,-679.94088908571734,0,1715.9894895327432
0.61250000000000004,1.1749999999999998,-604.2283338854885,0,1564.5643791322855
0.61250000000000004,1.2124999999999999,-533.64872341560113,2.899906694585538e-296,1423.4051581925107
0.61250000000000004,1.25,-468.09603963719576,8.5418681496669003e-268,1292.2997906357
0.61250000000000004,1.2875000000000001,-407.43657345012082,1.8863588056251762e-241,1170.9808582615501
0.61250000000000004,1.325,-351.49067150611256,3.737840824843871e-217,1059.0890543735336
0.61250000000000004,1.3624999999999998,-300.1594104930378,7.3367582691048811e-195,956.42653234738407
0.61250000000000004,1.3999999999999999,-253.28974255752092,1.6624261558051102e-174,862.68719647635032
0.61250000000000004,1.4375,-210.76229306778595,4.8998073638446919e-156,777.63229749688037
0.61250000000000004,1.4750000000000001,-172.40907930287136,2.2221230658583481e-139,700.9258699670512
0.61250000000000004,1.5125,-138.10263152600112,1.761444932881073e-124,632.31297441331071
0.61250000000000004,1.55,-107.72736379480079,2.7395563167528376e-111,571.56243895091006
0.61250000000000004,1.5874999999999999,-81.148672631216698,9.5644310606219527e-100,518.40505662374187
0.61250000000000004,1.625,-58.24394844522692,8.4733367116648495e-90,472.59560825176231
0.61250000000000004,1.6624999999999999,-38.933538633491793,2.0628083902266033e-81,433.97478862829206
0.61250000000000004,1.7,-23.125833201865078,1.5123702638120039e-74,402.35937776503863
0.61250000000000004,1.7375,-10.744289954614118,3.6049067859834293e-69,377.59629127053671
0.61250000000000004,1.7749999999999999,-1.7742694180644207,2.8348132956743722e-65,359.65625019743732
0.61250000000000004,1.8125,3.8911134279592261,8.1840630947282053e-63,348.32548450539002
0.61250000000000004,1.8499999999999999,6.2062988053550043,8.2878370348756023e-62,343.69511375059847
0.61250000000000004,1.8875,5.1736890641076343,2.9511038337508374e-62,345.76033323309321
0.61250000000000004,1.925,0.78031034796896392,3.6472401239006174e-64,354.54709066537055
0.61250000000000004,1.9624999999999999,-7.0493542070225885,1.4507221618941285e-67,370.20641977535365
0.61250000000000004,2,-18.432268046570897,1.6521427810283488e-72,392.97224745445027
0.65000000000000002,0.5,-2793.735070567076,0,5943.5778524954603
0.65000000000000002,0.53749999999999998,-2590.4972438832342,0,5537.1021991277767
0.65000000000000002,0.57499999999999996,-2400.410546712526,0,5156.9288047863602
0.65000000000000002,0.61250000000000004,-2222.2980376954602,0,4800.7037867522286
0.65000000000000002,0.65000000000000002,-2055.0946641936421,0,4466.2970397485924
0.65000000000000002,0.6875,-1897.8711982059808,0,4151.8501077732699
0.65000000000000002,0.72499999999999998,-1749.8562121168802,0,3855.8201355950691
0.65000000000000002,0.76249999999999996,-1610.356335019063,0,3576.8203813994342
0.65000000000000002,0.80000000000000004,-1478.7227157108905,0,3313.5531427830892
0.65000000000000002,0.83749999999999991,-1354.4948929798279,0,3065.0974973209641
0.65000000000000002,0.875,-1237.19307716003,0,2830.4938656813688
0.65000000000000002,0.91249999999999998,-1126.4877777875226,0,2609.0832669363535
0.65000000000000002,0.94999999999999996,-1022.0273478509683,0,2400.1624070632452
0.65000000000000002,0.98750000000000004,-923.59618554229644,0,2203.3000824459014
0.65000000000000002,1.0249999999999999,-830.95738295087233,0,2018.0224772630531
0.65000000000000002,1.0625,-743.89314619483844,0,1843.8940037509853
0.65000000000000002,1.1000000000000001,-662.2809369018978,0,1680.6695851651041
0.65000000000000002,1.1375,-585.9516137879034,5.5914891336791395e-319,1528.0109389371153
0.65000000000000002,1.1749999999999998,-514.74319934208074,4.7092181282890766e-288,1385.59411004547
0.65000000000000002,1.2124999999999999,-448.52285654287016,2.7044457531851712e-259,1253.1534244470488
0.65000000000000002,1.25,-387.17754244655612,1.1857951706364796e-232,1130.4627962544207
0.65000000000000002,1.2875000000000001,-330.56942759862341,4.5561874837617324e-208,1017.2465665585553
0.65000000000000002,1.325,-278.58803615129568,1.7132985759116308e-185,913.28378366389984
0.65000000000000002,1.3624999999999998,-231.03551588902752,7.6847581534509105e-165,818.17874313936352
0.65000000000000002,1.3999999999999999,-187.83951287483734,4.4199357237720681e-146,731.78673711098315
0.65000000000000002,1.4375,-148.81366091037688,3.9276077966846735e-129,653.73503318206224
0.65000000000000002,1.4750000000000001,-113.88343061756046,5.8094414793276091e-114,583.8745725964294
0.65000000000000002,1.5125,-82.855172945407219,1.7359430415882417e-100,521.81805725212291
0.65000000000000002,1.55,-55.64547536845501,1.1390872303673625e-88,467.39866209821849
0.65000000000000002,1.5874999999999999,-32.115512867345359,1.8857749260009251e-78,420.33873709599919
0.65000000000000002,1.625,-12.167622759203852,8.6845727279979034e-70,380.44295687971618
0.65000000000000002,1.6624999999999999,4.3160728460576934,1.2517756498947406e-62,347.47556566919309
0.65000000000000002,1.7,17.403449598971264,6.0436875742468689e-57,321.30081216336595
0.65000000000000002,1.7375,27.152407897160401,1.0356685750556593e-52,301.80289556698767
0.65000000000000002,1.7749999999999999,33.630733112350953,6.7409590939797953e-50,288.84624513660657
0.65000000000000002,1.8125,36.898473235705154,1.7696329478361215e-48,282.31076488989817
0.65000000000000002,1.8499999999999999,36.904902763422854,1.781047507716942e-48,282.29790583446277
